period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2025-05-19,2025-05-25,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,124500,124500.0,1,observed,22.443,87.714,52.4,0.443,Dat do vang tren bazan,4,low
2025-05-26,2025-06-01,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,119200,119200.0,1,observed,22.843,85.571,65.8,0.465,Dat do vang tren bazan,4,low
2025-06-02,2025-06-08,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,116250,116250.0,2,observed,22.829,86.143,39.9,0.44,Dat do vang tren bazan,4,low
2025-06-09,2025-06-15,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,112500,112500.0,2,observed,22.343,87.286,23.9,0.471,Dat do vang tren bazan,4,low
2025-06-16,2025-06-22,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,104000,,0,interpolated_area,22.5,87.0,54.3,0.429,Dat do vang tren bazan,4,low
2025-06-23,2025-06-29,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,95500,95500.0,1,observed,22.443,85.143,31.2,0.423,Dat do vang tren bazan,4,low
2025-06-30,2025-07-06,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,94600,94600.0,2,observed,22.7,84.0,47.5,0.399,Dat do vang tren bazan,4,low
2025-07-07,2025-07-13,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,90680,90680.0,5,observed,23.0,84.429,31.4,0.394,Dat do vang tren bazan,4,low
2025-07-14,2025-07-20,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,91900,91900.0,3,observed,22.457,86.857,34.4,0.446,Dat do vang tren bazan,4,low
2025-07-21,2025-07-27,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,92600,92600.0,1,observed,22.529,86.286,36.3,0.445,Dat do vang tren bazan,4,low
2025-07-28,2025-08-03,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,98800,98800.0,1,observed,23.714,82.857,13.2,0.391,Dat do vang tren bazan,4,low
2025-08-04,2025-08-10,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,105400,,0,interpolated_area,23.071,83.286,26.4,0.325,Dat do vang tren bazan,4,low
2025-08-11,2025-08-17,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,112000,112000.0,2,observed,21.986,87.714,102.9,0.468,Dat do vang tren bazan,4,low
2025-08-18,2025-08-24,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,118250,118250.0,2,observed,21.814,86.857,30.3,0.471,Dat do vang tren bazan,4,low
2025-08-25,2025-08-31,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,123133,123133.33333333333,3,observed,21.886,87.571,37.5,0.466,Dat do vang tren bazan,4,low
2025-09-01,2025-09-07,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,119117,,0,interpolated_area,22.014,91.143,101.8,0.493,Dat do vang tren bazan,4,low
